key,value,timestamp,sentence
B - Sad,0.0804,"00:03:08,855 --> 00:03:10,095","Ow!"
C - Neutral,0.4557,"00:03:08,855 --> 00:03:10,095","Ow!"
D - Happy,0.3660,"00:03:08,855 --> 00:03:10,095","Ow!"
E - Very Happy,0.0772,"00:03:08,855 --> 00:03:10,095","Ow!"
A - Very Sad,0.0119,"00:03:10,357 --> 00:03:11,688","You got my finger!"
B - Sad,0.0466,"00:03:10,357 --> 00:03:11,688","You got my finger!"
C - Neutral,0.4144,"00:03:10,357 --> 00:03:11,688","You got my finger!"
D - Happy,0.4721,"00:03:10,357 --> 00:03:11,688","You got my finger!"
E - Very Happy,0.0550,"00:03:10,357 --> 00:03:11,688","You got my finger!"
A - Very Sad,0.0696,"00:03:11,942 --> 00:03:13,899","Get your finger out of the way."
B - Sad,0.5550,"00:03:11,942 --> 00:03:13,899","Get your finger out of the way."
C - Neutral,0.3362,"00:03:11,942 --> 00:03:13,899","Get your finger out of the way."
D - Happy,0.0318,"00:03:11,942 --> 00:03:13,899","Get your finger out of the way."
E - Very Happy,0.0074,"00:03:11,942 --> 00:03:13,899","Get your finger out of the way."
A - Very Sad,0.0332,"00:03:14,653 --> 00:03:16,985","HICKORY: There you are."
B - Sad,0.1306,"00:03:14,653 --> 00:03:16,985","HICKORY: There you are."
C - Neutral,0.2352,"00:03:14,653 --> 00:03:16,985","HICKORY: There you are."
D - Happy,0.5050,"00:03:14,653 --> 00:03:16,985","HICKORY: There you are."
E - Very Happy,0.0960,"00:03:14,653 --> 00:03:16,985","HICKORY: There you are."
A - Very Sad,0.1377,"00:03:14,653 --> 00:03:16,985","HUNK: Right on my finger!"
B - Sad,0.4044,"00:03:14,653 --> 00:03:16,985","HUNK: Right on my finger!"
C - Neutral,0.2066,"00:03:14,653 --> 00:03:16,985","HUNK: Right on my finger!"
D - Happy,0.1795,"00:03:14,653 --> 00:03:16,985","HUNK: Right on my finger!"
E - Very Happy,0.0718,"00:03:14,653 --> 00:03:16,985","HUNK: Right on my finger!"
A - Very Sad,0.1016,"00:03:17,239 --> 00:03:18,604","Lucky it wasn't your head."
