key,value,timestamp,sentence
A - Very Sad,0.1125,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
B - Sad,0.2686,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
D - Happy,0.4720,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
E - Very Happy,0.1469,"00:02:40,745 --> 00:02:42,370","Give my compliments to Engineering."
A - Very Sad,0.1859,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
B - Sad,0.3420,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
D - Happy,0.2902,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
E - Very Happy,0.1820,"00:02:42,621 --> 00:02:45,206","Except for a slight malfunction in the nulling of the roll axis..."
A - Very Sad,0.0359,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
B - Sad,0.0530,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
D - Happy,0.6043,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
E - Very Happy,0.3069,"00:02:45,458 --> 00:02:47,250","...this jetpack is one prime piece of thrust."
A - Very Sad,0.1636,"00:02:47,501 --> 00:02:49,002","[COUNTRY MUSIC PLAYING INDISTINCTLY OVER RADIO]"
B - Sad,0.6144,"00:02:47,501 --> 00:02:49,002","[COUNTRY MUSIC PLAYING INDISTINCTLY OVER RADIO]"
D - Happy,0.1329,"00:02:47,501 --> 00:02:49,002","[COUNTRY MUSIC PLAYING INDISTINCTLY OVER RADIO]"
E - Very Happy,0.0891,"00:02:47,501 --> 00:02:49,002","[COUNTRY MUSIC PLAYING INDISTINCTLY OVER RADIO]"
A - Very Sad,0.1343,"00:02:49,253 --> 00:02:50,628","CONTROL: Engineering says thank you."
B - Sad,0.3427,"00:02:49,253 --> 00:02:50,628","CONTROL: Engineering says thank you."
D - Happy,0.3782,"00:02:49,253 --> 00:02:50,628","CONTROL: Engineering says thank you."
E - Very Happy,0.1448,"00:02:49,253 --> 00:02:50,628","CONTROL: Engineering says thank you."
A - Very Sad,0.2420,"00:02:50,880 --> 00:02:53,214","KOWALSKI: Tell them I still prefer my '67 Corvette, though."
B - Sad,0.5994,"00:02:50,880 --> 00:02:53,214","KOWALSKI: Tell them I still prefer my '67 Corvette, though."
D - Happy,0.0873,"00:02:50,880 --> 00:02:53,214","KOWALSKI: Tell them I still prefer my '67 Corvette, though."
E - Very Happy,0.0713,"00:02:50,880 --> 00:02:53,214","KOWALSKI: Tell them I still prefer my '67 Corvette, though."
A - Very Sad,0.1498,"00:02:53,466 --> 00:02:56,509","- Speaking of which, did I ever tell you... CONTROL: We know the Corvette story."
B - Sad,0.7104,"00:02:53,466 --> 00:02:56,509","- Speaking of which, did I ever tell you... CONTROL: We know the Corvette story."
D - Happy,0.0802,"00:02:53,466 --> 00:02:56,509","- Speaking of which, did I ever tell you... CONTROL: We know the Corvette story."
E - Very Happy,0.0596,"00:02:53,466 --> 00:02:56,509","- Speaking of which, did I ever tell you... CONTROL: We know the Corvette story."
A - Very Sad,0.1522,"00:02:56,761 --> 00:02:58,094","KOWALSKI: Even Engineering?"
B - Sad,0.5413,"00:02:56,761 --> 00:02:58,094","KOWALSKI: Even Engineering?"
D - Happy,0.1775,"00:02:56,761 --> 00:02:58,094","KOWALSKI: Even Engineering?"
E - Very Happy,0.1291,"00:02:56,761 --> 00:02:58,094","KOWALSKI: Even Engineering?"
A - Very Sad,0.1594,"00:02:58,346 --> 00:03:00,221","CONTROL: Especially Engineering."
B - Sad,0.4391,"00:02:58,346 --> 00:03:00,221","CONTROL: Especially Engineering."
D - Happy,0.2681,"00:02:58,346 --> 00:03:00,221","CONTROL: Especially Engineering."
E - Very Happy,0.1334,"00:02:58,346 --> 00:03:00,221","CONTROL: Especially Engineering."
A - Very Sad,0.1677,"00:03:01,182 --> 00:03:02,932","We're going to miss you, Matt."
B - Sad,0.7622,"00:03:01,182 --> 00:03:02,932","We're going to miss you, Matt."
D - Happy,0.0388,"00:03:01,182 --> 00:03:02,932","We're going to miss you, Matt."
E - Very Happy,0.0313,"00:03:01,182 --> 00:03:02,932","We're going to miss you, Matt."
A - Very Sad,0.1737,"00:03:03,184 --> 00:03:05,560","STONE: Comms card reboot in progress."
B - Sad,0.6180,"00:03:03,184 --> 00:03:05,560","STONE: Comms card reboot in progress."
D - Happy,0.1210,"00:03:03,184 --> 00:03:05,560","STONE: Comms card reboot in progress."
E - Very Happy,0.0873,"00:03:03,184 --> 00:03:05,560","STONE: Comms card reboot in progress."
A - Very Sad,0.0549,"00:03:05,811 --> 00:03:06,895","CONTROL: Thank you, doctor."
B - Sad,0.0888,"00:03:05,811 --> 00:03:06,895","CONTROL: Thank you, doctor."
D - Happy,0.6645,"00:03:05,811 --> 00:03:06,895","CONTROL: Thank you, doctor."
E - Very Happy,0.1918,"00:03:05,811 --> 00:03:06,895","CONTROL: Thank you, doctor."
A - Very Sad,0.1651,"00:03:07,146 --> 00:03:09,105","Shariff, what's your status?"
B - Sad,0.4001,"00:03:07,146 --> 00:03:09,105","Shariff, what's your status?"
D - Happy,0.2810,"00:03:07,146 --> 00:03:09,105","Shariff, what's your status?"
E - Very Happy,0.1538,"00:03:07,146 --> 00:03:09,105","Shariff, what's your status?"
A - Very Sad,0.1567,"00:03:09,357 --> 00:03:13,360","SHARIFF [OVER RADIO]: Nearly there."
B - Sad,0.6525,"00:03:09,357 --> 00:03:13,360","SHARIFF [OVER RADIO]: Nearly there."
D - Happy,0.1162,"00:03:09,357 --> 00:03:13,360","SHARIFF [OVER RADIO]: Nearly there."
E - Very Happy,0.0746,"00:03:09,357 --> 00:03:13,360","SHARIFF [OVER RADIO]: Nearly there."
A - Very Sad,0.1537,"00:03:09,357 --> 00:03:13,360","Replacing battery module A1 and C."
B - Sad,0.6803,"00:03:09,357 --> 00:03:13,360","Replacing battery module A1 and C."
D - Happy,0.1031,"00:03:09,357 --> 00:03:13,360","Replacing battery module A1 and C."
E - Very Happy,0.0629,"00:03:09,357 --> 00:03:13,360","Replacing battery module A1 and C."
A - Very Sad,0.1603,"00:03:14,945 --> 00:03:16,780","CONTROL: Could you be a little more specific?"
B - Sad,0.5770,"00:03:14,945 --> 00:03:16,780","CONTROL: Could you be a little more specific?"
D - Happy,0.1489,"00:03:14,945 --> 00:03:16,780","CONTROL: Could you be a little more specific?"
E - Very Happy,0.1139,"00:03:14,945 --> 00:03:16,780","CONTROL: Could you be a little more specific?"
A - Very Sad,0.1435,"00:03:17,031 --> 00:03:19,407","Indeterminate estimates make Houston anxious."
B - Sad,0.4141,"00:03:17,031 --> 00:03:19,407","Indeterminate estimates make Houston anxious."
D - Happy,0.3096,"00:03:17,031 --> 00:03:19,407","Indeterminate estimates make Houston anxious."
E - Very Happy,0.1327,"00:03:17,031 --> 00:03:19,407","Indeterminate estimates make Houston anxious."
A - Very Sad,0.2082,"00:03:19,658 --> 00:03:22,327","SHARIFF: No, no, no, Houston."
B - Sad,0.6235,"00:03:19,658 --> 00:03:22,327","SHARIFF: No, no, no, Houston."
D - Happy,0.0956,"00:03:19,658 --> 00:03:22,327","SHARIFF: No, no, no, Houston."
E - Very Happy,0.0728,"00:03:19,658 --> 00:03:22,327","SHARIFF: No, no, no, Houston."
A - Very Sad,0.1495,"00:03:19,658 --> 00:03:22,327","Don't be anxious."
B - Sad,0.5828,"00:03:19,658 --> 00:03:22,327","Don't be anxious."
D - Happy,0.1556,"00:03:19,658 --> 00:03:22,327","Don't be anxious."
E - Very Happy,0.1122,"00:03:19,658 --> 00:03:22,327","Don't be anxious."
A - Very Sad,0.1862,"00:03:22,578 --> 00:03:24,746","Anxiety's not good for the heart."
B - Sad,0.6094,"00:03:22,578 --> 00:03:24,746","Anxiety's not good for the heart."
D - Happy,0.1183,"00:03:22,578 --> 00:03:24,746","Anxiety's not good for the heart."
E - Very Happy,0.0861,"00:03:22,578 --> 00:03:24,746","Anxiety's not good for the heart."
A - Very Sad,0.1616,"00:03:25,122 --> 00:03:27,248","System is ready to reactivate."
B - Sad,0.4586,"00:03:25,122 --> 00:03:27,248","System is ready to reactivate."
D - Happy,0.2547,"00:03:25,122 --> 00:03:27,248","System is ready to reactivate."
E - Very Happy,0.1251,"00:03:25,122 --> 00:03:27,248","System is ready to reactivate."
A - Very Sad,0.1580,"00:03:28,292 --> 00:03:30,627","CONTROL: Hubble telescope engaged."
B - Sad,0.4646,"00:03:28,292 --> 00:03:30,627","CONTROL: Hubble telescope engaged."
D - Happy,0.2502,"00:03:28,292 --> 00:03:30,627","CONTROL: Hubble telescope engaged."
E - Very Happy,0.1271,"00:03:28,292 --> 00:03:30,627","CONTROL: Hubble telescope engaged."
A - Very Sad,0.1318,"00:03:28,292 --> 00:03:30,627","Upgrade fully functional."
B - Sad,0.3058,"00:03:28,292 --> 00:03:30,627","Upgrade fully functional."
D - Happy,0.4123,"00:03:28,292 --> 00:03:30,627","Upgrade fully functional."
E - Very Happy,0.1500,"00:03:28,292 --> 00:03:30,627","Upgrade fully functional."
A - Very Sad,0.1598,"00:03:30,878 --> 00:03:32,003","[APPLAUSE OVER RADIO]"
B - Sad,0.5400,"00:03:30,878 --> 00:03:32,003","[APPLAUSE OVER RADIO]"
D - Happy,0.1876,"00:03:30,878 --> 00:03:32,003","[APPLAUSE OVER RADIO]"
E - Very Happy,0.1127,"00:03:30,878 --> 00:03:32,003","[APPLAUSE OVER RADIO]"
A - Very Sad,0.1455,"00:03:32,254 --> 00:03:34,214","That applause you hear is for you, Shariff."
B - Sad,0.4514,"00:03:32,254 --> 00:03:34,214","That applause you hear is for you, Shariff."
D - Happy,0.2820,"00:03:32,254 --> 00:03:34,214","That applause you hear is for you, Shariff."
E - Very Happy,0.1211,"00:03:32,254 --> 00:03:34,214","That applause you hear is for you, Shariff."
A - Very Sad,0.1702,"00:03:34,465 --> 00:03:37,050","Congratulations."
B - Sad,0.2675,"00:03:34,465 --> 00:03:37,050","Congratulations."
D - Happy,0.3803,"00:03:34,465 --> 00:03:37,050","Congratulations."
E - Very Happy,0.1820,"00:03:34,465 --> 00:03:37,050","Congratulations."
A - Very Sad,0.2175,"00:03:34,465 --> 00:03:37,050","Kick back, take the rest of the day off."
B - Sad,0.5700,"00:03:34,465 --> 00:03:37,050","Kick back, take the rest of the day off."
D - Happy,0.1221,"00:03:34,465 --> 00:03:37,050","Kick back, take the rest of the day off."
E - Very Happy,0.0904,"00:03:34,465 --> 00:03:37,050","Kick back, take the rest of the day off."
A - Very Sad,0.1628,"00:03:37,301 --> 00:03:40,053","[SHARIFF LAUGHING]"
B - Sad,0.4895,"00:03:37,301 --> 00:03:40,053","[SHARIFF LAUGHING]"
D - Happy,0.2184,"00:03:37,301 --> 00:03:40,053","[SHARIFF LAUGHING]"
E - Very Happy,0.1292,"00:03:37,301 --> 00:03:40,053","[SHARIFF LAUGHING]"
A - Very Sad,0.1605,"00:03:40,304 --> 00:03:42,097","[SHARIFF SINGING IN HINDI]"
B - Sad,0.5743,"00:03:40,304 --> 00:03:42,097","[SHARIFF SINGING IN HINDI]"
D - Happy,0.1635,"00:03:40,304 --> 00:03:42,097","[SHARIFF SINGING IN HINDI]"
E - Very Happy,0.1017,"00:03:40,304 --> 00:03:42,097","[SHARIFF SINGING IN HINDI]"
A - Very Sad,0.1424,"00:03:42,348 --> 00:03:43,848","CONTROL: Matt, do you have a visual..."
B - Sad,0.3894,"00:03:42,348 --> 00:03:43,848","CONTROL: Matt, do you have a visual..."
D - Happy,0.3208,"00:03:42,348 --> 00:03:43,848","CONTROL: Matt, do you have a visual..."
E - Very Happy,0.1474,"00:03:42,348 --> 00:03:43,848","CONTROL: Matt, do you have a visual..."
A - Very Sad,0.1761,"00:03:44,100 --> 00:03:47,268","...on just what Mission Specialist Shariff is doing up there?"
B - Sad,0.5412,"00:03:44,100 --> 00:03:47,268","...on just what Mission Specialist Shariff is doing up there?"
D - Happy,0.1472,"00:03:44,100 --> 00:03:47,268","...on just what Mission Specialist Shariff is doing up there?"
E - Very Happy,0.1356,"00:03:44,100 --> 00:03:47,268","...on just what Mission Specialist Shariff is doing up there?"
A - Very Sad,0.1393,"00:03:47,520 --> 00:03:50,522","He appears to be doing some form of the Macarena."
B - Sad,0.5315,"00:03:47,520 --> 00:03:50,522","He appears to be doing some form of the Macarena."
D - Happy,0.2206,"00:03:47,520 --> 00:03:50,522","He appears to be doing some form of the Macarena."
E - Very Happy,0.1086,"00:03:47,520 --> 00:03:50,522","He appears to be doing some form of the Macarena."
A - Very Sad,0.1616,"00:03:50,773 --> 00:03:54,317","But that would be just a best-guess scenario on my part."
B - Sad,0.5947,"00:03:50,773 --> 00:03:54,317","But that would be just a best-guess scenario on my part."
D - Happy,0.1428,"00:03:50,773 --> 00:03:54,317","But that would be just a best-guess scenario on my part."
E - Very Happy,0.1008,"00:03:50,773 --> 00:03:54,317","But that would be just a best-guess scenario on my part."
A - Very Sad,0.1577,"00:03:54,568 --> 00:03:56,194","CONTROL: Dr. Stone, Houston."
